Date,Value,% change
2022.07.07,5803.57,0.320829177477644
2022.07.08,5828.81,0.434904722438101
2022.07.11,5817.71,-0.190433381770905
2022.07.12,5800.73,-0.291867418623493
2022.07.13,5790.45,-0.177219074151003
2022.07.14,5753.65,-0.635529190304729
2022.07.15,5747.07,-0.114362187480987
2022.07.18,5799.67,0.915248987745065
2022.07.19,5837.24,0.647795478018565
2022.07.20,5831.08,-0.105529325503151
2022.07.21,5868.75,0.646020977246065
2022.07.22,5864.26,-0.0765069222577131
2022.07.25,5827.23,-0.631452220740569
2022.07.26,5822.41,-0.0827151150718186
2022.07.27,5803.72,-0.321001097483686
2022.07.28,5818.23,0.250012061229676
2022.07.29,5880.2,1.06510055463604
2022.08.01,5884.29,0.0695554572973656
2022.08.03,5857.14,-0.461398061618301
2022.08.04,5853.37,-0.0643658850565387
2022.08.05,5857.59,0.0720952203602465
2022.08.08,5855.4,-0.0373873896944099
2022.08.09,5856,0.0102469515319337
2022.08.10,5878.97,0.392247267759571
2022.08.11,5874.4,-0.0777347052289823
2022.08.12,5874.43,0.000510690453503493
2022.08.15,5862.7,-0.1996789475745
2022.08.16,5847.89,-0.252613983318262
2022.08.17,5857.54,0.165016783831429
2022.08.18,5846.93,-0.18113405969058
2022.08.19,5839.57,-0.125878024878023
2022.08.22,5840.79,0.0208919492360016
2022.08.23,5834.22,-0.112484783736444
2022.08.24,5826.42,-0.133693964231729
2022.08.25,5823.63,-0.0478853223763509
2022.08.26,5822.68,-0.0163128495457299
2022.08.29,5803.5,-0.329401581402389
2022.08.30,5795.75,-0.133540105108987
2022.08.31,5764.57,-0.537980416684647
2022.09.01,5721.16,-0.753048362670583
2022.09.02,5739.29,0.31689377678652
2022.09.05,5737.31,-0.0344990408221113
2022.09.06,5741.93,0.0805255424580542
2022.09.07,5736.41,-0.0961349232749376
2022.09.09,5745.14,0.15218577472671
2022.09.12,5729.15,-0.278322199284975
2022.09.13,5757.08,0.487506872747279
2022.09.14,5737.21,-0.345140244707387
2022.09.15,5735.44,-0.0308512325677524
2022.09.16,5722.47,-0.226137837724727
2022.09.19,5707.96,-0.253561836060301
2022.09.20,5674.07,-0.593732261613611
2022.09.21,5678.85,0.0842428803310646
2022.09.22,5720.89,0.740290727876247
2022.09.23,5689,-0.55743074941137
2022.09.26,5597.86,-1.60203902267534
2022.09.27,5526.61,-1.2728078229895
2022.09.28,5545.57,0.343067450028145
2022.09.29,5591.38,0.826064768815482
2022.09.30,5586.34,-0.0901387492890815
2022.10.03,5569.23,-0.306282825606763
2022.10.04,5570.45,0.0219060803737792
2022.10.05,5511.12,-1.06508450843289
2022.10.06,5519.25,0.147519923354955
2022.10.07,5558.79,0.716401685011547
2022.10.10,5608.78,0.899296429618679
2022.10.12,5581.95,-0.478357147187092
2022.10.13,5551.09,-0.552853393527342
2022.10.14,5535.12,-0.28769124622372
2022.10.17,5450.19,-1.53438407839397
2022.10.18,5428.52,-0.397600817586163
2022.10.19,5427.96,-0.0103158872031495
2022.10.20,5443.2,0.280768465500847
2022.10.21,5465.47,0.409134332745453
2022.10.25,5491.54,0.476994659196728
2022.10.26,5627.45,2.4748977518146
2022.10.27,5675.19,0.848341611209347
2022.10.28,5659.66,-0.273647225907847
2022.10.31,5655.25,-0.0779198750454957
2022.11.01,5644.14,-0.196454621811581
2022.11.02,5640.83,-0.058644895413662
2022.11.03,5626.04,-0.262195457051528
2022.11.04,5615.47,-0.18787637485691
2022.11.07,5594.5,-0.373432677941477
2022.11.08,5603.74,0.165162212887648
2022.11.09,5604.12,0.00678118542258854
2022.11.10,5599.09,-0.0897553942456608
2022.11.11,5604.96,0.104838464821966
2022.11.14,5574.16,-0.54951328823043
2022.11.15,5570.88,-0.0588429467399565
2022.11.16,5576.17,0.094958067666151
2022.11.17,5562.81,-0.239590973732862
2022.11.18,5550.11,-0.228301883400672
2022.11.21,5539.2,-0.196572680541462
2022.11.22,5509.28,-0.540150202195266
2022.11.23,5538.56,0.531466906746436
2022.11.24,5559.93,0.385840362837997
2022.11.25,5554.28,-0.101619984424273
2022.11.28,5535.32,-0.341358375883105
2022.11.29,5557.22,0.395641083081033
2022.11.30,5557.94,0.0129561183469296
2022.12.01,5569.5,0.207990730378538
2022.12.02,5582.84,0.239518807792449
2022.12.05,5577.57,-0.0943964003983666
2022.12.06,5606.29,0.514919579673601
2022.12.07,5642.6,0.647665390124308
2022.12.09,5657.72,0.267961577995957
2022.12.12,5625.7,-0.565952362435762
2022.12.13,5620.65,-0.0897666068222613
2022.12.14,5609.77,-0.193571917838675
2022.12.15,5608.29,-0.0263825433128306
2022.12.16,5623.89,0.278159652942356
2022.12.19,5611.99,-0.211597310758227
2022.12.20,5591.2,-0.370456825475451
2022.12.21,5616.45,0.451602518242944
2022.12.22,5641.38,0.44387468952809
2022.12.23,5636.09,-0.0937713821795416
2022.12.26,5624.61,-0.20368730804512
2022.12.27,5638.75,0.251395207845517
2022.12.28,5628.99,-0.17308800709378
2022.12.29,5652.33,0.414639215916179
2023.01.03,5685.17,0.580999340095145
2023.01.04,5729.39,0.777813152465101
2023.01.05,5760.51,0.543164281014197
2023.01.09,5764.09,0.0621472751544561
2023.01.10,5770.67,0.114155053095977
2023.01.11,5766.03,-0.0804066078982202
2023.01.12,5815.93,0.865413464723575
2023.01.13,5849.27,0.573253116870398
2023.01.16,5858.83,0.163439198395698
2023.01.17,5855.24,-0.0612750327283806
2023.01.18,5852.18,-0.0522608808520175
2023.01.20,5829.33,-0.390452788533513
2023.01.23,5807.33,-0.37740186264974
2023.01.24,5798.89,-0.145333569816075
2023.01.25,5782.39,-0.284537213156311
2023.01.26,5799.51,0.296071347660742
2023.01.27,5840.1,0.699886714567266
2023.01.30,5804.91,-0.602558175373713
2023.01.31,5842.8,0.652723298035629
2023.02.01,5811.28,-0.539467378654079
2023.02.02,5822.96,0.200988422516213
2023.02.03,5829.3,0.108879332847911
2023.02.06,5812.76,-0.283739042423614
2023.02.07,5798.22,-0.250139348605483
2023.02.08,5791.12,-0.122451373007582
2023.02.09,5796.76,0.0973904875050113
2023.02.10,5781.91,-0.256177588859985
2023.02.13,5771.23,-0.184714047780066
2023.02.14,5749.61,-0.374616849441101
2023.02.15,5731.98,-0.306629493130839
2023.02.16,5760.31,0.494244571683788
2023.02.17,5779.49,0.332968190948035
2023.02.20,5799.64,0.34864667989738
2023.02.21,5795.1,-0.0782807208723257
2023.02.22,5792.29,-0.0484892409104321
2023.02.23,5764.76,-0.475286976308154
2023.02.24,5759.34,-0.0940195255309861
2023.02.27,5787.5,0.488944913826939
2023.02.28,5800.73,0.228596112311008
2023.03.01,5817.87,0.295480051648678
2023.03.02,5856.63,0.666223205399907
2023.03.03,5865.26,0.147354365906671
2023.03.06,5876.58,0.193000821787948
2023.03.07,5878.52,0.033012398367771
2023.03.08,5868.23,-0.175044058708673
2023.03.09,5886.68,0.314404854615469
2023.03.10,5857.85,-0.489749740091183
2023.03.13,5838.27,-0.334252328072582
2023.03.14,5825.8,-0.213590669838848
2023.03.15,5803.99,-0.374369185347945
2023.03.16,5779.08,-0.429187507214857
2023.03.17,5800.29,0.367013434664343
2023.03.20,5797.17,-0.0537904139275791
2023.03.21,5780.05,-0.295316507882293
2023.03.22,5783.47,0.0591690383301202
2023.03.23,5780.2,-0.0565404506291278
2023.03.24,5802.25,0.381474689457106
2023.03.27,5839.15,0.635960187858142
2023.03.28,5829.66,-0.162523654984026
2023.03.29,5840.43,0.184744907936318
2023.03.30,5850.33,0.169508067043012
2023.03.31,5843.35,-0.119309509036236
2023.04.03,5843.77,0.00718765776481778
2023.04.04,5860.02,0.278073914613342
2023.04.05,5844.74,-0.260749963310714
2023.04.06,5831.84,-0.220711272015517
2023.04.07,5852,0.345688496255048
2023.04.10,5908.63,0.96770334928229
2023.04.11,5899.32,-0.157566136312481
2023.04.12,5912.43,0.222229002664731
2023.04.13,5858.53,-0.91163870016221
2023.04.18,5863.45,0.0839801110517513
2023.04.19,5821.2,-0.72056553735429
2023.04.20,5873.89,0.905139833711277
2023.04.24,5845.85,-0.477366787597311
2023.04.25,5862.92,0.29200201852595
2023.04.26,5892.93,0.511860983946577
2023.04.27,5969.23,1.29477187069929
2023.04.28,5978.51,0.155463937559808
2023.05.02,6062.61,1.40670501512918
2023.05.03,6085.63,0.379704450723373
2023.05.04,6050.66,-0.574632371669004
2023.05.05,6035.04,-0.258153655964799
2023.05.08,5999.84,-0.583260425780108
2023.05.09,5973.13,-0.445178538094349
2023.05.10,5920.88,-0.874750758814891
2023.05.11,5909.09,-0.19912580562349
2023.05.12,5905.95,-0.0531384697136206
2023.05.15,5885.79,-0.34135067178015
2023.05.16,5905.04,0.327058899485033
2023.05.17,5899.94,-0.0863669001395451
2023.05.18,5911.59,0.19745963518274
2023.05.19,5879.44,-0.543846917665136
2023.05.22,5879.79,0.00595294789980105
2023.05.23,5867.44,-0.210041515088133
2023.05.25,5871.1,0.0623781410632462
2023.05.26,5876.38,0.0899320399925019
2023.05.29,5844.29,-0.546084494195409
2023.05.30,5845.78,0.0254949703043517
2023.05.31,5842.14,-0.0622671397144559
2023.06.01,5835.18,-0.119134426768275
2023.06.05,5825.6,-0.164176597808463
2023.06.06,5820.74,-0.0834248832738305
2023.06.07,5814.17,-0.112872246484119
2023.06.08,5815.35,0.0202952442051041
2023.06.09,5816.52,0.0201191673759871
2023.06.12,5809.88,-0.114157606266296
2023.06.13,5758.79,-0.879364117675408
2023.06.14,5755.75,-0.0527888671057575
2023.06.15,5746.22,-0.165573556877896
2023.06.16,5752.89,0.116076307555235
2023.06.19,5712.44,-0.703124864198701
2023.06.20,5654.33,-1.01725357290404
2023.06.21,5642.28,-0.213111014037037
2023.06.22,5648.52,0.110593589825392
2023.06.23,5606.15,-0.750107992890192
2023.06.26,5637.21,0.554034408640525
2023.06.27,5655.2,0.31912949845756
2023.06.28,5660.08,0.0862922619889739
2023.06.29,5639.51,-0.363422425124726
2023.06.30,5713.34,1.30915629194734
2023.07.03,5718.87,0.0967910189136223
2023.07.04,5718.59,-0.00489607212613707
2023.07.05,5734.95,0.286084506845219
2023.07.06,5737.5,0.0444642063139211
2023.07.07,5734.86,-0.0460130718954344
2023.07.10,5735.04,0.00313869911383602
2023.07.11,5754.45,0.338445764981588
2023.07.12,5726.84,-0.479802587562661
2023.07.13,5761.53,0.605744180036449
2023.07.14,5758.56,-0.0515488073480341
2023.07.17,5752.77,-0.100545969825794
2023.07.18,5740.27,-0.217286628876179
2023.07.19,5734.2,-0.105744154891685
2023.07.20,5726.87,-0.127829514143207
2023.07.21,5727.44,0.00995308082774038
2023.07.24,5750.1,0.395639238473056
2023.07.25,5746.37,-0.0648684370706643
2023.07.26,5723.8,-0.392769696347428
2023.07.27,5725.85,0.0358153674132611
2023.07.28,5733.34,0.130810272710602
2023.07.31,5778.15,0.781568858640847
2023.08.01,5769.83,-0.143990723674525
2023.08.03,5767.63,-0.0381293729624588
2023.08.04,5768.49,0.0149108039177115
2023.08.07,5742.56,-0.449511050552209
2023.08.08,5739.62,-0.0511966788331431
2023.08.09,5739.27,-0.00609796467361257
2023.08.10,5737.82,-0.0252645371275562
2023.08.11,5713.02,-0.432219902332232
2023.08.14,5685.56,-0.480656465407092
2023.08.15,5683.72,-0.0323626872287042
2023.08.16,5692.35,0.151837177060088
2023.08.17,5705.55,0.231890168383875
2023.08.18,5704.41,-0.0199805452585689
2023.08.21,5703.96,-0.00788863353089475
2023.08.22,5710.11,0.107819830433598
2023.08.23,5696.3,-0.241851733153997
2023.08.24,5675.26,-0.369362568684939
2023.08.25,5680.76,0.0969118595447682
2023.08.29,5695.69,0.26281694702821
2023.08.30,5723.26,0.484050220429855
2023.08.31,5724.79,0.0267330157986745
2023.09.01,5725.66,0.0151970639971077
2023.09.04,5725.42,-0.00419165650771269
2023.09.05,5731.1,0.09920669575334
2023.09.06,5717.28,-0.241140444242827
2023.09.07,5739.73,0.392669241317556
2023.09.11,5764.52,0.431901849041694
2023.09.12,5746.27,-0.316591841124669
2023.09.13,5765.8,0.339872647821982
2023.09.14,5743.84,-0.380866488605225
2023.09.15,5749.2,0.0933173626006312
2023.09.18,5766.51,0.301085368399079
2023.09.19,5781.05,0.25214557852149
2023.09.20,5782.79,0.0300983385371101
2023.09.21,5787.13,0.0750502784987894
2023.09.22,5798.59,0.198025618916464
2023.09.25,5798.16,-0.00741559586038276
2023.09.26,5794.16,-0.0689874029002335
2023.09.27,5782.36,-0.203653333701526
2023.09.28,5797.03,0.253702640444398
2023.09.29,5803.06,0.104018782031501
2023.10.02,5811.05,0.137685979465996
2023.10.03,5830.17,0.329028316741375
2023.10.04,5840.3,0.173751365740626
2023.10.05,5875.85,0.608701607794115
2023.10.06,5939.94,1.09073580843622
2023.10.09,5961.4,0.361283110603816
2023.10.10,5967.01,0.0941054114805384
2023.10.12,5981.99,0.251047006792349
2023.10.13,6007.8,0.431461771082864
2023.10.16,6004.58,-0.0535969905789191
2023.10.17,5993.53,-0.184026193339093
2023.10.18,5952.93,-0.677397126568136
2023.10.19,5987.03,0.572827162422529
2023.10.20,5990.01,0.049774262029767
2023.10.24,5952.45,-0.627044028307133
2023.10.25,5906.59,-0.770439062906869
2023.10.26,5912.65,0.102597268474702
2023.10.27,5906.24,-0.10841162592069
2023.10.30,5910.69,0.0753440429105412
2023.10.31,5906.53,-0.0703809538311062
2023.11.01,5884.04,-0.380765017700746
2023.11.02,5881.51,-0.0429976682687405
2023.11.03,5880.54,-0.0164923633556691
2023.11.06,5882.44,0.032309957929022
2023.11.07,5875.44,-0.118998238826062
2023.11.08,5846.36,-0.494941655433467
2023.11.09,5853.77,0.126745530552363
2023.11.10,5879.57,0.440741607545214
2023.11.13,5871.37,-0.13946598135578
2023.11.14,5889.81,0.314066393363066
2023.11.15,5925.49,0.605792037434139
2023.11.16,5966.28,0.688381889092726
2023.11.17,5992.29,0.435950039220412
2023.11.20,5974.28,-0.300552877113758
2023.11.21,5961.79,-0.209062849414488
2023.11.22,5946.91,-0.249589468934663
2023.11.23,5966.14,0.32336120775327
2023.11.24,5997.64,0.527979564676651
2023.11.27,6031.35,0.562054408067181
2023.11.28,6037.4,0.100309217670991
2023.11.29,6035.17,-0.0369364295888852
2023.11.30,6046.34,0.185081778972251
2023.12.01,6054.42,0.133634562396434
2023.12.04,6083.96,0.487908007703464
2023.12.05,6092.53,0.140862201592373
2023.12.06,6090.79,-0.0285595639250014
2023.12.07,6094.32,0.0579563570571207
2023.12.11,6053.59,-0.668327229288901
2023.12.12,6060.31,0.111008509000454
2023.12.13,6061.28,0.0160057818824333
2023.12.14,6069.34,0.132975213156294
2023.12.15,6090.9,0.355228080812742
2023.12.18,6092.77,0.0307015383605114
2023.12.19,6083.29,-0.155594253516878
2023.12.20,6077.76,-0.0909047571297728
2023.12.21,6094.2,0.270494392670972
2023.12.22,6090.41,-0.0621902792819373
2023.12.25,6057.56,-0.539372554557072
2023.12.26,6074.95,0.287079286049163
2023.12.27,6102.24,0.449221804294675
2023.12.28,6116.23,0.229260074988846
2024.01.02,6154.42,0.624404249022681
2024.01.03,6193.14,0.629141332570748
2024.01.04,6220.83,0.447107606157782
2024.01.05,6243.82,0.369564832988512
2024.01.09,6248.72,0.0784775986495623
2024.01.10,6245.19,-0.056491569473438
2024.01.11,6254.83,0.154358794528275
2024.01.12,6267.21,0.19792704198196
2024.01.15,6257.39,-0.156688542429562
2024.01.16,6260.7,0.0528974540503269
2024.01.17,6269.63,0.14263580749756
2024.01.18,6282.78,0.209741244698636
2024.01.22,6270.19,-0.200388999773993
2024.01.23,6282.05,0.189148973157116
2024.01.24,6295.39,0.212351063745109
2024.01.25,6291.43,-0.0629031720036366
2024.01.26,6297.59,0.0979109677768042
2024.01.29,6323.58,0.412697555731634
2024.01.30,6384.34,0.960848127168479
2024.01.31,6472.19,1.37602320678409
2024.02.01,6636.8,2.54334313424052
2024.02.02,6639.1,0.0346552555448465
2024.02.05,6596.96,-0.634724586163793
2024.02.06,6622.08,0.380781450850076
2024.02.07,6604.35,-0.26774064946361
2024.02.08,6601.52,-0.042850545473816
2024.02.09,6617.81,0.246761351931069
2024.02.12,6624.35,0.0988242333944234
2024.02.13,6645.4,0.31776702619879
2024.02.14,6667.94,0.339181990549853
2024.02.15,6689.76,0.327237497637967
2024.02.16,6676.09,-0.20434215876205
2024.02.19,6682.91,0.102155603055087
2024.02.20,6667.94,-0.224004213733242
2024.02.21,6673.27,0.0799347324661026
2024.02.22,6697.75,0.366836648299862
2024.02.23,6739.43,0.622298533089483
2024.02.26,6805.82,0.985098146282382
2024.02.27,6828.42,0.332068729411006
2024.02.28,6810.2,-0.266826000743958
2024.02.29,6810.15,-0.000734192828411029
2024.03.01,6791.27,-0.277233247432129
2024.03.04,6781.05,-0.150487316805259
2024.03.05,6759.39,-0.319419558917866
2024.03.06,6752,-0.109329392149293
2024.03.07,6757.65,0.0836789099526003
2024.03.08,6755.59,-0.0304839700191573
2024.03.11,6765.77,0.150690021152866
2024.03.12,6754.47,-0.167017205728248
2024.03.13,6755.46,0.0146569605017133
2024.03.14,6825.77,1.0407877479846
2024.03.15,6861.18,0.518769311008138
2024.03.18,6871.02,0.143415564086635
2024.03.19,6875.67,0.067675541622636
2024.03.20,6886.13,0.15213062872419
2024.03.21,6894.68,0.124162628355839
