OBSV, type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller,MEDIAN_SQ,type_new,House_story,BIG_PROPERTY
143,1-room,Sofia, city_Sofia,Studentsky_hrad,54900,77,712.98,Brick,2018,3,NO,1/29/2019,1/31/2019,Agency,"1,036.84",1,0,0
144,1-room,Sofia, city_Sofia,Poduyane,32500,33,984.84,Brick,2019,0,YES,1/4/2019,1/31/2019,Agency,"1,051.08",1,0,0
145,1-room,Sofia, city_Sofia,Oboryshche,32500,33,984.84,Brick,2019,0,NO,1/4/2019,1/31/2019,Agency,"1,510.66",1,0,0
146,1-room,Sofia, city_Sofia,Sukhata_reka,32500,33,984.84,Brick,2019,0,YES,1/4/2019,1/31/2019,Agency,"1,000.00",1,0,0
147,1-room,Sofia, city_Sofia,Banyshora,35000,30,1166.66,EPK,1980,4,NO,1/7/2019,1/31/2019,Agency,"1,000.00",1,0,0
148,1-room,Sofia, city_Sofia,Ovcha_kupel,62000,64,968.75,Brick,2017,1,NO,3/18/2019,3/31/2019,Agency,916.18,1,0,0
149,1-room,Sofia, city_Sofia,Krstova_vada,48000,32,1500,Brick,2017,0,NO,1/7/2019,1/31/2019,Agency,"1,183.52",1,0,0
150,1-room,Sofia, city_Sofia,Vytosha,49200,57,863.15,Brick,2018,2,NO,2/19/2019,2/28/2019,Agency,998.87,1,0,0
151,1-room,Sofia, city_Sofia,Tsentr,42420,43,986.51,Brick,2019,5,YES,1/14/2019,1/31/2019,Agency,"1,470.00",1,0,0
152,1-room,Sofia, city_Sofia,Studentsky_hrad,38000,38,1000,Brick,2018,7,NO,2/11/2019,2/28/2019,Agency,"1,036.84",1,0,0
153,1-room,Sofia, city_Sofia,Banyshora,33200,40,830,Brick,0,-1,NO,1/31/2019,1/31/2019,Agency,"1,000.00",1,0,0
154,1-room,Sofia, city_Sofia,Studentsky_hrad,48000,77,623.37,Brick,2018,3,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
155,1-room,Sofia, city_Sofia,Studentsky_hrad,47000,40,1175,Brick,2017,6,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
156,1-room,Sofia, city_Sofia,Tsentr,24000,22,1090.9,Brick,1975,0,NO,1/15/2019,1/31/2019,Agency,"1,470.00",1,0,0
157,1-room,Sofia, city_Sofia,Doktorsky_pametnyk,60000,21,2857.14,Brick,1997,0,YES,1/24/2019,1/31/2019,Agency,"2,232.14",1,0,0
158,1-room,Sofia, city_Sofia,Druzhba_2,51000,48,1062.5,Panel,0,1,YES,1/3/2019,1/31/2019,Agency,"1,000.00",1,0,0
159,1-room,Sofia, city_Sofia,Obelya_1,56700,68,833.82,Brick,0,6,YES,3/25/2019,3/31/2019,Agency,764.58,1,0,0
160,1-room,Sofia, city_Sofia,Obelya_1,56700,68,833.82,Brick,0,6,YES,1/7/2019,1/31/2019,Agency,764.58,1,0,0
161,1-room,Sofia, city_Sofia,Lozenets,60000,46,1304.34,Brick,2000,1,NO,1/28/2019,1/31/2019,Agency,"1,582.21",1,0,0
162,1-room,Sofia, city_Sofia,Studentsky_hrad,41000,41,1000,Brick,2018,12,NO,1/11/2019,1/31/2019,Agency,"1,036.84",1,0,0
163,1-room,Sofia, city_Sofia,Studentsky_hrad,46490,60,774.83,Brick,2018,10,NO,1/9/2019,1/31/2019,Agency,"1,036.84",1,0,0
164,1-room,Sofia, city_Sofia,Manastyrsky_lyvady,57000,45,1266.66,Brick,2009,0,NO,3/19/2019,3/31/2019,Agency,"1,073.17",1,0,0
165,1-room,Sofia, city_Sofia,Khypodruma,62900,35,1797.14,Brick,2004,0,NO,1/7/2019,1/31/2019,Agency,"1,262.71",1,0,0
166,1-room,Sofia, city_Sofia,Studentsky_hrad,46500,60,775,Brick,2018,10,NO,1/4/2019,1/31/2019,Agency,"1,036.84",1,0,0
167,1-room,Sofia, city_Sofia,Mladost_2,65600,57,1150.87,Brick,2018,2,YES,4/18/2019,4/30/2019,Agency,"1,264.12",1,0,0
168,1-room,Sofia, city_Sofia,Lyulyn_2,39900,47,848.93,Panel,0,2,YES,6/28/2019,6/30/2019,Agency,723.57,1,0,0
169,1-room,Sofia, city_Sofia,Studentsky_hrad,62000,60,1033.33,Brick,2017,4,NO,1/12/2019,1/31/2019,Agency,"1,036.84",1,0,0
170,1-room,Sofia, city_Sofia,Krstova_vada,58390,41,1424.14,Brick,2017,4,NO,1/15/2019,1/31/2019,Agency,"1,183.52",1,0,0
171,1-room,Sofia, city_Sofia,Borovo,49600,43,1153.48,Brick,2007,6,YES,1/8/2019,1/31/2019,Agency,"1,204.54",1,0,0
172,1-room,Sofia, city_Sofia,Manastyrsky_lyvady,60000,48,1250,Brick,0,0,NO,1/15/2019,1/31/2019,Agency,"1,073.17",1,0,0
173,1-room,Sofia, city_Sofia,Lozenets,66550,42,1584.52,Panel,1983,2,YES,1/8/2019,1/31/2019,Agency,"1,582.21",1,0,0
174,1-room,Sofia, city_Sofia,Belyte_brezy,61220,49,1249.38,EPK,0,0,YES,1/23/2019,1/31/2019,Agency,"1,229.35",1,0,0
175,1-room,Sofia, city_Sofia,Dyanabad,63000,72,875,Brick,0,1,YES,1/24/2019,1/31/2019,Agency,"1,218.00",1,0,0
176,1-room,Sofia, city_Sofia,Boyana,49200,41,1200,Brick,2018,-1,NO,1/23/2019,1/31/2019,Agency,"1,155.17",1,0,0
