 type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller
 3-СТАЕН, София, гр. София, Връбница 2,81549,83,982.51, Тухла,0,5, ДА, 2019-03-09, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,140083,136,1030.02, Тухла,0,9, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,76025,92,826.35, Тухла,0,1, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,83535,93,898.22, Тухла,0,1, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,92274,108,854.38, Тухла,0,0, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,126035,109,1156.28, Тухла,0,15, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,83553,92,908.18, Тухла,0,3, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,100762,105,959.63, Тухла,0,8, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Студентски град,86416,90,960.17, Тухла,0,5, ДА, 2019-03-09, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,153586,136,1129.3, Тухла,0,14, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 2,88333,126,701.05, Тухла,0,1, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 4,94999,97,979.37, Панел,0,2, ДА, 2019-03-22, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дружба 1,109800,89,1233.7, ЕПК,0,11, НЕ, 2019-03-30, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,134000,87,1540.22, Тухла,1970,1, ДА, 2019-03-07, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,149000,110,1354.54, Тухла,2015,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Малинова долина,114500,125,916, Тухла,1998,4, НЕ, 2019-03-18, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Сухата река,70000,90,777.77, Панел,1986,1, НЕ, 2019-03-21, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Княжево,110000,100,1100, Тухла,1985,4, НЕ, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 2,87000,84,1035.71, Панел,1975,4, НЕ, 2019-03-22, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Левски Г,82000,90,911.11, Панел,1991,9, ДА, 2019-03-29, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Яворов,149999,99,1515.14, Тухла,1961,2, ДА, 2019-03-27, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Павлово,104900,107,980.37, Тухла,2009,2, ДА, 2019-03-26, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Княжево,110000,100,1100, Тухла,1986,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 10,103000,98,1051.02, Тухла,2018,3, ДА, 2019-03-20, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 5,73000,84,869.04, Панел,1986,2, ДА, 2019-03-20, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,130464,109,1196.91, Тухла,2020,4, НЕ, 2019-05-28, 2019-05-31, Ч.Л.
 3-СТАЕН, София, гр. София, Витоша,114000,116,982.75, Тухла,2019,3, НЕ, 2019-03-19, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Драгалевци,105350,117,900.42, Тухла,2019,1, НЕ, 2019-03-11, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,198000,80,2475, Тухла,1954,2, ДА, 2019-03-26, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,149488,120,1245.73, Тухла,2020,4, НЕ, 2019-05-28, 2019-05-31, Ч.Л.
 3-СТАЕН, София, гр. София, Западен парк,104000,88,1181.81, Тухла,0,4, НЕ, 2019-03-20, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,147500,114,1293.85, Тухла,0,6, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,205000,126,1626.98, Тухла,0,7, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,137000,114,1201.75, Тухла,0,4, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,129000,106,1216.98, Тухла,0,5, ДА, 2019-03-05, 2019-03-31, Агенция
