"period","config","mise"
"monthly","gaussian_ucv_0.025",275256.799472072
"monthly","gaussian_ucv_0.25",142739.027272752
"monthly","gaussian_ucv_0.5",54209.9909199452
"monthly","gaussian_ucv_0.75",28850.6169903884
"monthly","gaussian_ucv_0.975",142590.127335777
"yearly","rectangular_nrd0_0.025",153290.84589977
"yearly","rectangular_nrd0_0.25",112031.524652093
"yearly","rectangular_nrd0_0.5",122650.21357612
"yearly","rectangular_nrd0_0.75",98992.8773170785
"yearly","rectangular_nrd0_0.975",25895.9277038112
"yearly","rectangular_SJ_0.025",103885.233328105
"yearly","rectangular_SJ_0.25",140168.775292633
"yearly","rectangular_SJ_0.5",99066.9955004301
"yearly","rectangular_SJ_0.75",198992.728895377
"yearly","rectangular_SJ_0.975",47768.5471658586
"yearly","rectangular_ucv_0.025",153290.84589977
"yearly","rectangular_ucv_0.25",112031.524652093
"yearly","rectangular_ucv_0.5",122650.21357612
"yearly","rectangular_ucv_0.75",98992.8773170785
"yearly","rectangular_ucv_0.975",25895.9277038112
"yearly","epanechnikov_nrd0_0.025",153290.84589977
"yearly","epanechnikov_nrd0_0.25",109416.827515851
"yearly","epanechnikov_nrd0_0.5",93900.6354062841
"yearly","epanechnikov_nrd0_0.75",38939.1166257292
"yearly","epanechnikov_nrd0_0.975",25895.927703811
"yearly","epanechnikov_SJ_0.025",164735.976380373
"yearly","epanechnikov_SJ_0.25",106514.101395472
"yearly","epanechnikov_SJ_0.5",87688.6588142451
"yearly","epanechnikov_SJ_0.75",54353.8057231003
"yearly","epanechnikov_SJ_0.975",47768.5471658577
"yearly","epanechnikov_ucv_0.025",153290.84589977
"yearly","epanechnikov_ucv_0.25",109416.827515851
"yearly","epanechnikov_ucv_0.5",93900.6354062841
"yearly","epanechnikov_ucv_0.75",38939.1166257292
"yearly","epanechnikov_ucv_0.975",25895.927703811
"yearly","biweight_nrd0_0.025",153290.84589977
"yearly","biweight_nrd0_0.25",137246.236138737
"yearly","biweight_nrd0_0.5",149725.489485913
"yearly","biweight_nrd0_0.75",163706.103380838
"yearly","biweight_nrd0_0.975",25895.927703811
"yearly","biweight_SJ_0.025",164735.976380368
"yearly","biweight_SJ_0.25",96149.6743218001
"yearly","biweight_SJ_0.5",83201.1212904898
"yearly","biweight_SJ_0.75",47152.1829030712
"yearly","biweight_SJ_0.975",47768.5471658583
"yearly","biweight_ucv_0.025",153290.84589977
"yearly","biweight_ucv_0.25",137246.236138737
"yearly","biweight_ucv_0.5",149725.489485913
"yearly","biweight_ucv_0.75",163706.103380838
"yearly","biweight_ucv_0.975",25895.927703811
"yearly","triangular_nrd0_0.025",153290.84589977
"yearly","triangular_nrd0_0.25",126532.887150077
"yearly","triangular_nrd0_0.5",93900.635406285
"yearly","triangular_nrd0_0.75",38939.1166257297
"yearly","triangular_nrd0_0.975",25895.9277038112
"yearly","triangular_SJ_0.025",164735.976380371
"yearly","triangular_SJ_0.25",96149.6743218003
"yearly","triangular_SJ_0.5",82731.649709852
"yearly","triangular_SJ_0.75",47152.1829030713
"yearly","triangular_SJ_0.975",47768.547165858
"yearly","triangular_ucv_0.025",153290.84589977
"yearly","triangular_ucv_0.25",126532.887150077
"yearly","triangular_ucv_0.5",93900.635406285
"yearly","triangular_ucv_0.75",38939.1166257297
"yearly","triangular_ucv_0.975",25895.9277038112
"yearly","gaussian_nrd0_0.025",299485.887337983
"yearly","gaussian_nrd0_0.25",193512.083623864
"yearly","gaussian_nrd0_0.5",77567.9950726122
"yearly","gaussian_nrd0_0.75",147387.845704066
"yearly","gaussian_nrd0_0.975",1210965.97555444
"yearly","gaussian_SJ_0.025",99824.2633532681
"yearly","gaussian_SJ_0.25",226833.074488438
"yearly","gaussian_SJ_0.5",106952.758996835
"yearly","gaussian_SJ_0.75",410389.528042753
"yearly","gaussian_SJ_0.975",3249188.68764905
"yearly","gaussian_ucv_0.025",299485.887337983
"yearly","gaussian_ucv_0.25",193512.083623864
"yearly","gaussian_ucv_0.5",77567.9950726122
"yearly","gaussian_ucv_0.75",147387.845704066
"yearly","gaussian_ucv_0.975",1210965.97555444
